personid,fk_test,answers_id,gender,age,residence,education,SIknowledge,result_id,quizSI1,quizSI2,quizSI3,quizSI4,quizSI5,quizSI6,answers_id,have_met,SIvsSystemy,feelings,EasyToFind,EasyToFindExample1,EasyToFindExample2,EasyToFindExample3,EasyToFindExample4,EasyToFindExample5,EasyToFindExample6,are_useful,fear,endangered,linkMonitoring1,linkMonitoring2,linkMonitoring3,linkMonitoring4,linkMonitoring5,linkMonitoring6,is_good,is_affecting,would_you_accept,is_helping,emotional_disorders
28,28,28,female,1,500k+,2,TRUE,28,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,28,TRUE,TRUE,Pozyt,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3
29,29,29,female,1,0-50k,4,TRUE,29,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29,TRUE,TRUE,Pozyt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2
30,30,30,male,1,0,4,TRUE,30,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,30,FALSE,TRUE,Neutr,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,IDK,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2
31,31,31,female,1,500k+,4,TRUE,31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,31,TRUE,TRUE,Pozyt,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3
32,32,32,male,1,100-500k,4,TRUE,32,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,32,TRUE,TRUE,Negat,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3
33,33,33,male,1,0-50k,4,TRUE,33,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,33,TRUE,TRUE,Negat,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,IDK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1
34,34,34,male,1,500k+,4,TRUE,34,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,34,TRUE,TRUE,Neutr,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
35,35,35,male,1,0-50k,4,TRUE,35,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,TRUE,TRUE,Pozyt,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,IDK,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2
36,36,36,female,1,500k+,4,TRUE,36,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,36,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2
37,37,37,male,1,500k+,2,TRUE,37,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,37,FALSE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,1
38,38,38,female,1,500k+,4,TRUE,38,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,IDK,2
39,39,39,male,1,500k+,2,TRUE,39,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,39,TRUE,TRUE,Neutr,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
40,40,40,male,1,0,4,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,Neutr,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,2
41,41,41,male,2,500k+,5,TRUE,41,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,41,TRUE,TRUE,Pozyt,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3
42,42,42,female,1,500k+,4,TRUE,42,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,42,TRUE,TRUE,Pozyt,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,1
43,43,43,female,1,100-500k,4,TRUE,43,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,43,TRUE,TRUE,Neutr,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,IDK,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2
44,44,44,male,1,0-50k,4,TRUE,44,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,44,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,IDK,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,IDK,1
45,45,45,male,1,500k+,4,TRUE,45,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,45,FALSE,TRUE,Pozyt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3
46,46,46,female,1,0-50k,4,TRUE,46,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,46,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,2
47,47,47,female,0,500k+,0,TRUE,47,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,47,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
48,48,48,female,0,500k+,0,TRUE,48,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,48,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3
49,49,49,male,1,100-500k,4,TRUE,49,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,49,FALSE,TRUE,Pozyt,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,IDK,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IDK,0
50,50,50,male,1,0-50k,2,TRUE,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,50,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2
51,51,51,female,1,500k+,4,TRUE,51,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,51,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3
52,52,52,female,1,500k+,5,TRUE,52,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,52,TRUE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,IDK,3
53,53,53,female,1,100-500k,4,TRUE,53,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,53,TRUE,FALSE,Negat,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,IDK,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,1
54,54,54,male,1,500k+,4,TRUE,54,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,54,TRUE,TRUE,Negat,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
